Sender	Ort	Land	Bitrate	Aktualisierung	Adresse
NDR 1 Welle Nord	Kiel	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndr1wellenord.m3u
NDR 2	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndr2.m3u
NDR 90,3	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndr903.m3u
NDR Info	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndrinfo.m3u
NDR Info Spezial	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndrinfo_spezial.m3u
NDR Kultur	Hamburg	Deutschland	128	03.10.16	http://www.ndr.de/resources/metadaten/audio/m3u/ndrkultur.m3u
NewcomerRadio Deutschland	Wuppertal	Deutschland	128	03.10.16	http://streamplus14.leonex.de:15888
NIGHTLINE RADIO	Berlin	Deutschland	128	03.10.16	http://radio1.nightline-radio.de:8000
Nordwestradio	Bremen	Deutschland	128	03.10.16	http://rb-mp3-m-nordwestradio.akacast.akamaistream.net/7/639/234438/v1/gnl.akacast.akamaistream.net/rb-mp3-m-nordwestradio
Nordwestradio – LowQuality mono	Bremen	Deutschland	56	03.10.16	http://rb-mp3-s-nordwestradio.akacast.akamaistream.net/7/542/234438/v1/gnl.akacast.akamaistream.net/rb-mp3-s-nordwestradio
NRW Chaosradio	Köln	Deutschland	0		http://217.79.190.24:8000
Ohrfunk Radio	Berlin	Deutschland	192	09.10.16	http://server1.digital-webstream.de:8000
Oldie95	Hamburg	Deutschland	0		http://edge.live.mp3.mdn.newmedia.nacamar.net/stboldie95/livestream.mp3
Oldies	Hamburg	Deutschland	0		http://dude.mp3streams.net/oldies
oldiestar	Oranienburg	Deutschland	0		http://www.digitalradiostream.de:8000
on3radio	München	Deutschland	0		http://gffstream.ic.llnwd.net/stream/gffstream_w9b
Onkelz Rock Radio ORR	Voerde	Deutschland	0		http://webhost110.gtk.hu:9010
Orange	Wien	Österreich	96	09.10.16	http://stream3.o94.at:8000/live_standard.ogg
ORF FM4	Wien	Österreich	156	09.10.16	http://mp3stream1.apasf.apa.at:8000
ORF Hitradio Ö3	Wien	Österreich	128	09.10.16	http://mp3stream7.apasf.apa.at:8000/
ORF Radio Ö1	Wien	Österreich	192	09.10.16	http://mp3stream3.apasf.apa.at:8000/
ORF Radio Burgenland	Eisenstadt	Österreich	192	09.10.16	http://194.232.200.146:8000/
ORF Radio Kärnten	Klagenfurt	Österreich	156	09.10.16	http://194.232.200.145:8000/
ORF Radio Niederösterreich	St. Pölten	Österreich	156	09.10.16	http://mp3stream8.apasf.apa.at:8000/
ORF Radio Oberösterreich	Linz	Österreich	156	09.10.16	http://194.232.200.148:8000/
ORF Radio Salzburg	Salzburg	Österreich	156	09.10.16	http://194.232.200.147:8000/
ORF Radio Steiermark	Graz	Österreich	192	09.10.16	http://mp3stream9.apasf.apa.at:8000/
ORF Radio Tirol	Insbruck	Österreich	192	09.10.16	http://194.232.200.159:8000/
ORF Radio Vorarlberg	Bregenz	Österreich	128	09.10.16	http://194.232.200.149:8000/
ORF Radio Wien	Wien	Österreich	128	09.10.16	http://mp3stream17.apasf.apa.at:8000/
POP-Radio POP one	Velen	Deutschland	0		http://one.audio.pop-radio.de
POP-Radio POP two	Velen	Deutschland	0		http://two.audio.pop-radio.de
PRIDE1	Recklinghausen	Deutschland	0		http://p1standby.serveftp.org:8100
Primavera online radio	Aschaffenburg	Deutschland	0		http://62.75.162.209:8000/primavera
PROJECT RELOADED	Hannover	Deutschland	0		http://edge.live.mp3.mdn.newmedia.nacamar.net/projectreloaded/livestream.mp3
PsyRadio Chillout	Duisburg	Deutschland	128	09.10.16	http://komplex2.psyradio.org:8030
PsyRadio Progressive	Duisburg	Deutschland	128	09.10.16	http://komplex2.psyradio.org:8010
Pure-Metal World Radio	Bielefeld	Deutschland	0		http://pure-metal.de:29000
Querfunk	Karlsruhe	Deutschland	128	09.10.16	http://mp3.querfunk.de:8001/qfhi
R.SH	Kiel	Deutschland	128	09.10.16	http://stream.hoerradar.de/rsh128
Radio 21 - Classic Rock	Garbsen	Deutschland	0		http://radio21.ice.streaming.spacenet.de/radio21
Radio 7	Ulm	Deutschland	0		http://stream.hoerradar.de/mp3-radio7-128
Radio 700	Euskirchen	Deutschland	0		http://s1.global-streaming.net:11600
Radio AENA	Straubing	Deutschland	0		http://85.214.100.217:8055/dslTest
Radio B2 Berlin-Brandenburg	Berlin	Deutschland	0		http://www.digitalradiostream.de:9090/listen.pls
Radio Bielefeld	Bielefeld	Deutschland	128	21.05.17	http://edge.live.mp3.mdn.newmedia.nacamar.net/ps-radiobielefeld/livestream.mp3
Radio Blau	Dresden	Deutschland	0		http://85.239.108.31:8000/radioblau
Radio BOB!	Kassel	Deutschland	0		http://85.239.108.31/mp3-radiobob
Radio Bonn / Rhein-Sieg	Bonn	Deutschland	96	09.10.16	http://ga-stream01.ga-bonn.de:80/live128
