Sender	Ort	Land	Bitrate	Aktualisierung	Adresse
http://broadcast.infomaniak.ch/jazz-wr04-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr05-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr06-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr07-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr08-128.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr09.ice.infomaniak.ch/jazz-wr09-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr10-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazz-wr12-128.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazzblackmusic-high.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazzblues-high.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazzladiescrooners-high.mp3.m3u
http://www.jazzradio.fr/
http://broadcast.infomaniak.ch/jazzlounge-high.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr15.ice.infomaniak.ch/jazz-wr15-128.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr18.ice.infomaniak.ch/jazz-wr18-128.mp3.m3u
http://www.jazzradio.fr/
http://reprises.ice.infomaniak.ch/reprises-high.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr16.ice.infomaniak.ch/jazz-wr16-128.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr17.ice.infomaniak.ch/jazz-wr17-128.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr12.ice.infomaniak.ch/jazz-wr12-128.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr14.ice.infomaniak.ch/jazz-wr14-128.mp3.m3u
http://www.jazzradio.fr/
http://jazz-wr13.ice.infomaniak.ch/jazz-wr13-128.mp3.m3u
http://www.k6fm.com/
http://k6fm.ice.infomaniak.ch/playlists/k6fm-64.aac.m3u
http://www.kernews.com/
http://statslive.infomaniak.ch/playlist/kernews/kernews-128.aac/playlist.m3u
http://www.kissfm.fr/
http://www.tv-radio.com/station/kissfm-mp3/kissfm-mp3-128k.pls
http://www.kissfm.fr/
kissfmdance.m3u
http://www.acoustiqueradio.fr/
http://91.121.29.128:8072/listen.pls
http://www.lalaradio.com/
http://broadcast.infomaniak.ch/lalaradio-high.mp3.m3u
http://www.laradioplus.com/
http://broadcast.infomaniak.ch/laradioplus-high.mp3.m3u
http://www.linasjazz.net/
http://154.43.33.106/linasjazz.mp3.m3u
http://www.live9.fr/
http://www.live9.fr/ecoute/192.m3u
http://www.lorfm.com/
http://players.creacast.com/creacast/lorfm/playlist.m3u
http://www.lyonpremiere.com/
http://broadcast.infomaniak.ch/lyon1ere-high.mp3.m3u
http://www.m2radio.fr/m2-hit
http://www.m2radio.fr/pls/m2hit.m3u
http://www.m2radio.fr/m2-club
http://www.m2radio.fr/pls/m2club.m3u
http://www.m2radio.fr/m2-love
http://www.m2radio.fr/pls/m2love.m3u
http://www.m2radio.fr/m2-rock
http://www.m2radio.fr/pls/m2rock.m3u
http://www.m2radio.fr/m2-sunshine
http://www.m2radio.fr/pls/m2sunshine.m3u
http://www.m2radio.fr/m2-funk
http://www.m2radio.fr/pls/m2funk.m3u
http://www.m2radio.fr/m2-80
http://www.m2radio.fr/pls/m280.m3u
http://www.m2radio.fr/m2-90
http://www.m2radio.fr/pls/m290.m3u
http://www.m2radio.fr/m2-chillout
http://www.m2radio.fr/pls/m2chillout.m3u
http://www.m2radio.fr/m2-classic
http://www.m2radio.fr/pls/m2classic.m3u
http://www.m2radio.fr/m2-jazz
http://www.m2radio.fr/pls/m2jazz.m3u
http://www.m2radio.fr/m2-caliente
http://www.m2radio.fr/pls/m2caliente.m3u
http://www.magic-radio.net/
http://www.magic-radio.net/stream192k.m3u
http://www.magic-radio.net/ogg.m3u
http://www.magic-radio.net/aacp.m3u
http://www.magnumlaradio.com/
http://players.creacast.com/creacast/magnum/playlist.pls
http://www.melodiefm.net/
http://www.melodiefm.net/live.m3u
http://www.melody29.com/
http://178.33.253.144:6010/listen.pls
http://www.metropolys.com/
http://www.tv-radio.com/station/rocfm-mp3/rocfm-mp3-128k.m3u
http://www.mfm.fr/
http://mfm.ice.infomaniak.ch/playlists/mfm-128.mp3.m3u
http://mfm.ice.infomaniak.ch/playlists/mfm-64.aac.m3u
http://www.mfm.fr/
http://mfm-wr3.ice.infomaniak.ch/playlists/mfm-wr3-128.mp3.m3u
http://mfm-wr3.ice.infomaniak.ch/playlists/mfm-wr3-64.aac.m3u
http://www.mfm.fr/
http://mfm-wr2.ice.infomaniak.ch/playlists/mfm-wr2-128.mp3.m3u
http://mfm-wr2.ice.infomaniak.ch/playlists/mfm-wr2-64.aac.m3u
http://www.mfm.fr/
http://mfm-wr4.ice.infomaniak.ch/playlists/mfm-wr4-64.mp3.m3u
http://mfm-wr4.ice.infomaniak.ch/playlists/mfm-wr4-64.aac.m3u
http://www.mistralfm.fr/
http://broadcast.infomaniak.ch/mistralfm-high.mp3.m3u
http://www.radio-mix.com/
http://sv3.vestaradio.com:4520/listen.pls
http://www.monafm.fr/
http://broadcast.infomaniak.ch/monafm-low.mp3.m3u
http://broadcast.infomaniak.ch/monafm-high.mp3.m3u
http://www.montagnefm.com/
http://gisv3.tv-radio.com/station/montagne/montagne.m3u
http://www.radiomti.com/
http://stream2.radiomti.net:9800/radiomti.mp3.m3u
http://www.musicboxtv.com/
http://www.musicboxtv.com:8000/live.m3u
http://www.niceradio.fr/
http://niceradio.stream.ideocast.fr:8000/niceradio.mp3.m3u
http://www.nostalgie.fr/
http://www.listenlive.eu/fr_nostalgie.m3u
http://www.nrj.fr/
http://www.listenlive.eu/fr_nrj.m3u
http://www.o2radio.net/
http://91.121.176.26:7900/listen.pls
http://www.oceanefm.com/
http://www.listenlive.eu/oceanefm.m3u
http://www.odsradio.com/
http://broadcast.infomaniak.ch/ods-high.mp3.m3u
http://www.centpourcent.com/
http://www.listenlive.eu/centpourcent.m3u
http://www.ouestfm.fr/
http://broadcast.infomaniak.ch/ouestfm-high.mp3.m3u
http://www.ouifm.fr/
http://broadcast.infomaniak.ch/ouifm-high.mp3.m3u
http://www.ouifm.fr/
http://broadcast.infomaniak.net/ouifm2.mp3.m3u
http://www.ouifm.fr/
http://ouifm3.ice.infomaniak.ch/ouifm3.mp3.m3u
http://www.ouifm.fr/
http://ouifm3.ice.infomaniak.ch/ouifm4.mp3.m3u
http://www.ouifm.fr/
http://ouifm3.ice.infomaniak.ch/ouifm5.mp3.m3u
http://www.paris-one.com/
http://listen.radionomy.com/parisoneclub.pls
http://www.paris-one.com/
http://listen.radionomy.com/parisonereverse.pls
http://www.paris-one.com/
http://listen.radionomy.com/parisonedeeper.pls
http://www.paris-one.com/
http://listen.radionomy.com/parisonetrance.pls
http://www.paris-one.com/
http://listen.radionomy.com/parisonedance.pls
http://www.perrinefm.com/
http://broadcast.infomaniak.ch/perrinefm-low.mp3.m3u
http://broadcast.infomaniak.ch/perrinefm-high.mp3.m3u
http://www.pharefm.com/
http://str0.creacast.com/pharefm.m3u
http://www.pharefm.com/
http://str0.creacast.com/pharefmhits.m3u
http://www.pharefm.com/
http://str30.creacast.com/pharefmlive.m3u
http://www.picfm.com/
http://www.streamakaci.com/radios/picfm.m3u
http://www.planetefm.net/
http://planetefm.ice.infomaniak.ch/planetefm-64.aac.m3u
http://www.plusfm.com/
http://194.206.248.215:8000/listen.pls
http://www.pulsradio.com/
http://www.pulsradio.com/pls/puls-adsl.m3u
http://www.radio6.fr/
http://www.listenlive.eu/radio6calais.m3u
http://www.radio6.fr/
http://www.listenlive.eu/radio6boulogne.m3u
http://www.radio6.fr/
http://www.listenlive.eu/radio6montreuil.m3u
http://www.radio6.fr/
http://www.listenlive.eu/radio6dunkerque.m3u
http://www.radio74.org/
http://broadcast.infomaniak.ch/radio74-low.mp3.m3u
http://broadcast.infomaniak.ch/radio74-high.mp3.m3u
http://www.radio8fm.com/
http://stream-input.live.tv-radio.com:9452/listen.pls
http://www.radio-albatros.com/
http://stream.inovacast.fr:7601/stream.m3u
http://www.radioalfa.net/
http://91.121.160.48:8050/listen.pls
http://www.ram72.net/
http://www.streamakaci.com/radios/ram72.m3u
http://www.ram05.fr/
http://91.121.62.121:8310/listen.pls
http://www.radioarcenciel.com/
http://ecoute.radioarcenciel.com:8000/listen.pls
http://www.arrels.net/
http://stream.franclr.fr:8000/radioarrels.m3u
http://www.radioarverne.com/
http://radioarverne.ice.infomaniak.ch/arverne.mp3.m3u
http://www.radioatlantis.fr/
http://www.radioatlantis.fr:8000/listen.pls
http://www.attitudefm.com/
http://178.32.222.164:8002/listen.pls?sid=1
http://www.radio-aviva.com/
http://stream.franclr.fr:8000/radioaviva.m3u
http://www.radioazur.com/
http://players.creacast.com/creacast/radioazur/playlist.pls
http://www.radiobonheur.com/
http://www.tv-radio.com/station/bonheur/bonheur.m3u
http://www.radiobn.com/
http://www.listenlive.eu/rbn.m3u
http://www.radioboomerang.com/
http://109.190.81.136:8000/radioboomerang.mp3.m3u
http://radio.bro.gwened.free.fr/
http://rbg.online.stalig.net/live.mp3.m3u
http://www.radiobruaysis.com/
http://radiobruaysis.ice.infomaniak.ch/playlists/radiobruaysis-128.mp3.m3u
http://www.radiobrume.fr/
http://live140.impek.com:9974/listen.pls
http://www.radiocampusamiens.com/
http://serv.samuelvermeulen.net:8000/stream_rca1.m3u
http://www.radiocampusangers.com/
http://www.radiocampusangers.com:8000/rca.m3u
http://www.bordeaux.radio-campus.org/
http://www.radiocampus.fr:8000/campus-bordeaux.m3u
http://www.campusgrenoble.org/
http://live.campusgrenoble.org:9000/rcg112.m3u
http://www.campuslille.com/
http://radiocampuslille.ice.infomaniak.ch/radiocampuslille-128.m3u
http://www.orleans.radio-campus.org/
http://orleans.radiocampus.org:8000/stream_rco.m3u
http://www.radiocampusparis.org/
http://www.radiocampusparis.org:8000/stream_rcp.m3u
http://www.radiocampusrennes.fr/
http://stream.radiocampusrennes.fr:8001/rcr.m3u
http://www.radiocaroline.eu/
http://88.191.128.150:8000/caroline.mp3.m3u
http://www.radiocean.com/
http://stream.08informatique.com:8004/listen.pls
http://www.radio-cigogne.com/
http://stream.radio-cigogne.com:8000/cigogne.m3u
http://www.radioclassique.fr/
http://players.creacast.com/creacast/classique/playlist.pls
http://www.radiocourchevel.com/
http://radiocourchevel.doubleclic.fr:8888/listen.pls
http://www.radiocourtoisie.net/
http://www.tv-radio.com/station/courtoisie/courtoisie.m3u
http://www.radiocraponne.com/
http://radio-shoutcast.cyber-streaming.com:8010/listen.pls
http://www.maradiocristal.com/
http://broadcast.infomaniak.ch/radiocristal-high.mp3.m3u
http://www.radio-cultures-dijon.com/
http://manager.radioking.fr:2199/tunein/radiocul.pls
http://www.laradiodelamer.com/
http://radiomer.ice.infomaniak.ch/playlists/radiomer-128.mp3.m3u
http://www.dijon.radio-campus.org/
http://193.52.238.101:8082/dijoncampus.mp3.m3u
http://www.radioemotion.fr/
http://www.listenlive.eu/emotion.m3u
http://www.radioespace.com/
http://broadcast.infomaniak.ch/radioespace-high.mp3.m3u
http://www.radioespace.com/
http://espace-dancefloor.ice.infomaniak.ch/espace-dancefloor-high.mp3.m3u
http://www.radioespace.com/
http://espace-vintage.ice.infomaniak.ch/espace-vintage-high.mp3.m3u
http://www.radioespace.com/
http://espace-disco.ice.infomaniak.ch/espace-disco-high.mp3.m3u
http://www.radioespace.com/
http://espace100.ice.infomaniak.ch/espace100-high.mp3.m3u
http://www.radioevasion.org/
http://www.radioevasion.org/live128k.m3u
http://www.radiofg.com/
http://www.radiofg.com/streams/fg.pls
http://radiofg.impek.com/fg64.aac.m3u
http://www.radiofg.com/
http://www.radiofg.com/streams/fgu.pls
http://www.radiofg.com/
http://radiofg.impek.com/fgc.m3u
http://radiofg.impek.com/fgc64.aac.m3u
http://www.radiofg.com/
http://radiofg.impek.com/fg6.m3u
http://radiofg.impek.com/fg664.aac.m3u
http://www.radiofg.com/
http://radiofg.impek.com/fgd.m3u
http://radiofg.impek.com/fgd64.aac.m3u
http://www.radiofg.com/
http://radiofg.impek.com/fge64.mp3.m3u
http://radiofg.impek.com/fge64.aac.m3u
http://www.radiofg.com/
http://radiofg.impek.com/fgv.m3u
http://www.radiofm43.com/
http://fm43.ice.infomaniak.ch/fm43-64.aac.m3u
http://www.radio-fmr.net/
http://giss.tv:8000/fmr.ogg.m3u
http://www.radio-g.org/
http://80.82.229.202/radiog.mp3.m3u
http://www.radiogalaxie.com/
http://radiogalaxie.ice.infomaniak.ch/playlists/radiogalaxie-64.aac.m3u
http://www.radiogrenouille.com/
http://live.radiogrenouille.com/live.m3u
http://www.hauteangevine.com/
http://str30.creacast.com/radio_haute_angevine.m3u
http://www.icietmaintenant.com/
http://radio.rim952.fr:8002/stream3.mp3.m3u
http://radio.rim952.fr:8000/stream.mp3.m3u
http://radio.rim952.fr:8001/stream.ogg.m3u
http://www.radiodici.com/
http://live.francra.org:8000/Radiodici.m3u
http://radioinside.fr/
http://serveur-webradio.com/listen/listen-9070.m3u
http://www.rjrradio.fr/
http://stream.08informatique.com:8008/listen.pls
http://www.radiorjl.com/
http://broadcast.infomaniak.ch/judaica-low.mp3.m3u
http://broadcast.infomaniak.ch/judaica-high.mp3.m3u
http://radiokerne.antourtan.org/
http://www.antourtan.org:8000/live-kerne.mp3.m3u
http://www.radiolaser.fr/
http://217.128.133.215:8000/stream.mp3.m3u
http://www.latina.fr/
http://broadcast.infomaniak.net/start-latina-high.mp3.m3u
http://rl.federation-anarchiste.org/
http://ecoutez.radio-libertaire.org:8080/radiolib.m3u
http://ecoutez.radio-libertaire.org:8080/radiolib-modem.m3u
http://www.radiolodeve.com/
http://stream.franclr.fr:8000/radiolodeve.m3u
http://www.maritima.info/radio/
http://str81.streamakaci.com:6950/listen.pls
http://www.radiomelodie.com/
http://str2.creacast.com/melodie.m3u
http://www.radiomenergy.fr/
http://www.listenlive.eu/radiomenergy.m3u
http://www.radio-montaillou.com/
http://www.tv-radio.com/station/montaillou/montaillou.m3u
http://www.radiomontblanc.fr/
http://stream-input.live.tv-radio.com:9054/listen.pls
http://www.radiomontblanc.fr/
http://stream-input.live.tv-radio.com:9426/listen.pls
http://www.radiomontblanc.fr/
http://stream-input.live.tv-radio.com:9496/listen.pls
http://www.radiomontblanc.fr/
http://stream-input.live.tv-radio.com:9312/listen.pls
http://www.rnm-aude.com/
http://players.creacast.com/creacast/radio_narbonne/playlist.m3u
http://www.radio-neptune.net/
http://icecast.infini.fr:8000/neptune.m3u
http://www.radioneo.org/
http://stream.radioneo.org:8000/listen.pls
http://www.radionordbretagne.com/
http://www.streamakaci.com/radios/nordbretagne.m3u
http://www.radionotredame.com/
http://stream2.radionotredame.com/RadioNotreDame.mp3.m3u
http://www.novaplanet.com/
http://broadcast.infomaniak.ch/radionova-high.mp3.m3u
http://www.radionti.com/
http://www.tv-radio.com/station/nti-mp3/nti-mp3-128k.pls
http://www.radiono1.fr/
http://radiono1.ice.infomaniak.ch/radiono1-128.mp3.m3u
http://www.radio-occitania.com/
http://82.224.106.32:8000/stream.mp3.m3u
http://www.radioxygene.fr/
http://live.radiooxygene.fr:7710/listen.pls
http://rpa.cabanova.fr/
http://sv3.vestaradio.com:4420/listen.pls
http://www.radio-plus.fr/
http://broadcast.infomaniak.ch/radioplus-low.mp3.m3u
http://broadcast.infomaniak.net/radioplus-high.mp3.m3u
http://www.radiopresence.com/
http://www.streamakaci.com/radios/radiopresence.m3u
http://www.radioprevert.fr/
http://88.191.151.167:8012/listen.pls
http://www.radiopuisaleine.fr/
http://www.streamakaci.com/radios/radiopuisaleine.m3u
http://www.radiopulse.fr/
http://www.radiopulse.fr/fichiers/pulse90fm.m3u
http://www.radiorva.com/
http://broadcast.infomaniak.ch/rva-high.mp3.m3u
http://www.radioscoop.com/
http://www.listenlive.eu/scooplyon.m3u
http://www.radioscoop.com/
http://www.listenlive.eu/scoopst.m3u
http://www.radioscoop.com/
http://www.listenlive.eu/scoopcl.m3u
http://www.radioscoop.com/
http://www.listenlive.eu/scoopbeb.m3u
http://www.radioscoop.com/
http://stream.radioscoop.com/scoop1.mp3.m3u
http://www.radioscoop.com/
http://stream.radioscoop.com/scoop2.mp3.m3u
http://www.radioscoop.com/
http://stream.radioscoop.com/scoop3.mp3.m3u
http://www.radioscoop.com/
http://stream.radioscoop.com/scoop4.mp3.m3u
http://www.radiostar.fr/
http://players.creacast.com/creacast/radio_star/playlist.pls
http://www.radiosun.fr/
http://radiosun.ice.infomaniak.ch/radiosun-high.mp3.m3u
http://www.radio-transparence.org/
http://stream.levillage.org/transparence.m3u
http://radiou.free.fr/
http://icecast.infini.fr:8000/radiou.mp3.m3u
http://www.radiorbs.com/
http://www4.radiorbs.com:8000/RBS.m3u
http://www.rcf.fr/
http://www.streamakaci.com/radios/rcf.pls
http://www.capsao.com/
http://str2.creacast.com/capsao.m3u
http://www.rfm.fr/
http://www.listenlive.eu/rfm.m3u
http://www.rfm.fr/
http://www.listenlive.eu/rfmcollector.m3u
http://www.rfm.fr/
http://www.listenlive.eu/rfmnightfever.m3u
http://www.rireetchansons.fr/
http://www.listenlive.eu/fr_rire.m3u
http://www.rmcinfo.fr/
http://www.listenlive.eu/rmc.m3u
http://www.rmnfm.fr/
http://www.rmnfm.fr:8000/livermn.mp3.m3u
http://www.rpl-radio.com/
http://91.121.62.121:9800/listen.pls
http://www.rtflimoges.com/
http://live140.impek.com:9962/listen.pls
http://www.rtsfm.com/
http://stream.rtsfm.com:8000/listen.pls
http://www.rtl.fr/
http://streaming.radio.rtl.fr/rtl-1-44-128.m3u
http://www.rtl2.fr/
http://streaming.radio.rtl.fr/rtl2-1-44-128.m3u
http://www.radiorve.com/
http://players.creacast.com/creacast/rve/playlist.pls
http://www.rvm.fr/
http://stream.08informatique.com:8002/listen.pls
http://www.seafm.fr/
http://www.tv-radio.com/station/sea_fm-mp3/sea_fm-mp3-32k.m3u
http://www.skyrock.fm/
http://www.skyrock.fm/stream.php/yourplayer_64.pls
http://www.sol-fm.fr
http://www.streamakaci.com/radios/solfm.m3u
http://www.souvenirsfm.fr/
http://souvenirsfm.bcast.infomaniak.ch/souvenirsfm-128.mp3.m3u
http://www.studiozef.tk/
http://91.121.62.121:9600/listen.pls
http://www.sudradio.fr/
http://broadcast.infomaniak.ch/start-sud-high.mp3.m3u
http://www.lesonunique.com/
http://www.lesonunique.com/sun.m3u
http://www.sweetfm.fr/
http://dedibox-linux.sweetfm.fr:8000/alc.m3u
http://www.swingfm.asso.fr/
http://swingfm.ice.infomaniak.ch/swingfm-128.mp3.m3u
http://www.tendanceouest.com/
http://streaming.tendanceouest.com/tomanche.mp3.m3u
http://www.tendanceouest.com/
http://streaming.tendanceouest.com/tocaen.mp3.m3u
http://www.tendanceouest.com/
http://streaming.tendanceouest.com/nfm.mp3.m3u
http://www.tendanceouest.com/
http://streaming.tendanceouest.com/torouen.mp3.m3u
http://www.radiotopfm.fr/
http://players.creacast.com/creacast/top_fm/playlist.pls
http://www.topmusic.fr/
http://players.creacast.com/creacast/topmusic/playlist.m3u
http://www.radio-totem.net/
http://streaming.radio-totem.net:8000/tarn-et-garonne.m3u
http://www.radio-totem.net/
http://streaming.radio-totem.net:8000/lozere.m3u
http://www.radio-totem.net/
http://streaming.radio-totem.net:8000/herault.m3u
http://www.radio-totem.net/
http://aratotem.ice.infomaniak.ch/correze.mp3.m3u
http://www.radio-totem.net/
http://aratotem.ice.infomaniak.ch/aveyron.mp3.m3u
http://www.toulouse.fm/
http://www.listenlive.eu/toulousefm.m3u
http://www.trianglefm.net/
http://players.creacast.com/creacast/triangle/playlist.pls
http://www.tropiquesfm.com/
http://stream-input.live.tv-radio.com:9448/listen.pls
http://www.tsfjazz.com/
http://statslive.infomaniak.ch/playlist/tsfjazz/tsfjazz-high.mp3/playlist.pls
http://www.onlyrai.com/
http://broadcast.infomaniak.ch/onlyrai-high.mp3.m3u
http://www.valleefm.fr/
http://91.121.103.73:8000/listen.pls
http://www.virageradio.com/
http://broadcast.infomaniak.net/virageradio-high.mp3.m3u
http://www.vfmradio.fr/
http://str31.creacast.com/vfm.m3u
http://www.virginradio.fr/
http://www.listenlive.eu/virginradiofr.m3u
http://www.listenlive.eu/virginradiofr_aac.m3u
http://www.virginradio.fr/
http://www.listenlive.eu/virginfrclassics.m3u
http://www.virginradio.fr/
http://www.listenlive.eu/virginfrnew.m3u
http://www.virginradio.fr/
http://www.listenlive.eu/virginfrelectro.m3u
http://www.virginradio.fr/
http://www.listenlive.eu/virginfrhit.m3u
http://www.virginradio.fr/
http://www.listenlive.eu/virginfrrock.m3u
http://www.radiovitamine.com/
http://radiovitamine.ice.infomaniak.ch/playlists/radiovitamine-128.mp3.m3u
http://radiovitamine.ice.infomaniak.ch/playlists/radiovitamine-64.aac.m3u
http://www.vivrefm.com/
http://relay1.clicknrock.fr:8050/listen.pls
http://www.voltage.fr/
http://start-voltage.ice.infomaniak.ch/playlists/start-voltage-high.mp3.m3u
http://www.witfm.fr/
http://start-witfm.ice.infomaniak.ch/playlists/start-witfm-high.mp3.m3u
